Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,0020-7578,1745-8315,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Psychology, Psychoanalysis"
INTERNATIONAL JOURNAL OF PSYCHOLOGICAL RESEARCH,2011-7922,2011-2084,"UNIV SAN BUENAVENTURA, MEDELLIN","DEPT FORMACION HUMANA & BIOETICA, SAN BENITO CENTRO, CARRERA 56C NO 51-90, MEDELLIN, COLOMBIA, 00000","English, Spanish","Psychology, Multidisciplinary"
INTERNATIONAL JOURNAL OF PSYCHOLOGY,0020-7594,1464-066X,JOHN WILEY & SONS LTD,"THE ATRIUM, SOUTHERN GATE, CHICHESTER, ENGLAND, W SUSSEX, PO19 8SQ",Multi-Language,"Psychology, Multidisciplinary"
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0167-8760,1872-7697,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Biological | Psychology, Experimental"
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,0965-075X,1468-2389,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Management | Psychology, Applied"
INTERNATIONAL JOURNAL OF SEXUAL HEALTH,1931-7611,1931-762X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Social Sciences, Interdisciplinary | Public, Environmental & Occupational Health"
INTERNATIONAL JOURNAL OF SOCIAL PSYCHOLOGY,0213-4748,1579-3680,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Multi-Language,"Psychology, Social"
INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,1612-197X,1557-251X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0047-0767,NA,EDIZIONI LUIGI POZZI,"VIA PANAMA 68, ROME, ITALY, 00198",Multi-Language,"Psychology, Multidisciplinary | Hospitality, Leisure, Sport & Tourism"
INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING,1747-9541,2048-397X,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,1072-5245,1573-3424,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Applied"
INTERNATIONAL JOURNAL OF TRANSGENDERISM,1553-2739,1434-4599,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Public, Environmental & Occupational Health | Psychology, Clinical | Social Sciences, Interdisciplinary | Social Sciences, Biomedical"
INTERNATIONAL PSYCHOGERIATRICS,1041-6102,1741-203X,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Clinical | Gerontology"
INTERNATIONAL REVIEW OF RESEARCH IN DEVELOPMENTAL DISABILITIES,2211-6095,NA,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Multidisciplinary | Education, Special"
INTERNATIONAL REVIEW OF SOCIAL PSYCHOLOGY,2397-8570,2397-8570,UBIQUITY PRESS LTD,"2N, 6 OSBORNE ST, LONDON, ENGLAND, E1 6TD","English, French","Psychology, Social"
INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,1750-984X,1750-9858,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
